epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1797,1.56623,3.77645,1.465,0.00222,0.48649,0.08247,0.06287,1.36359,4.15459,1.64339,0.00012,0.00012,0.00012
2,60.084,1.18534,2.79142,1.25622,0.00296,0.64865,0.19385,0.13637,1.15336,3.72005,1.27413,0.000254852,0.000254852,0.000254852
3,88.8575,1.13438,2.41407,1.20355,0.00309,0.67568,0.28421,0.1952,1.09536,3.71915,1.2529,0.00038416,0.00038416,0.00038416
4,116.19,1.0694,2.16603,1.09715,1,0.06979,0.38822,0.27016,1.1058,3.65205,1.25644,0.000507924,0.000507924,0.000507924
5,143.415,1.06418,1.82735,1.13399,0.91336,0.28551,0.412,0.28153,1.23094,3.46956,1.49932,0.000626144,0.000626144,0.000626144
6,171.617,1.19283,1.84498,1.19418,0.73358,0.07576,0.32073,0.18934,1.35799,3.76847,1.59222,0.00073882,0.00073882,0.00073882
7,199.722,1.21638,2.04087,1.2136,0.37232,0.16216,0.16549,0.11289,1.47738,3.81305,1.60325,0.000845952,0.000845952,0.000845952
8,229.303,1.2709,1.96081,1.22064,0.2649,0.12694,0.12302,0.07076,1.45583,3.91633,2.03634,0.00094754,0.00094754,0.00094754
9,260.913,1.10815,1.7328,1.16465,0.2449,0.21622,0.19541,0.08595,1.5478,3.81745,1.77002,0.00104358,0.00104358,0.00104358
10,290.744,1.03624,1.66041,1.16169,0.80083,0.18919,0.25107,0.1542,1.43345,3.40059,1.59054,0.00113408,0.00113408,0.00113408
11,321.228,1.13088,1.61024,1.19519,0.38279,0.24324,0.26506,0.17009,1.40203,3.24385,1.48118,0.00121904,0.00121904,0.00121904
12,352.213,1.15172,1.57611,1.21326,0.38659,0.24324,0.23053,0.17512,1.25471,3.23969,1.43988,0.00129845,0.00129845,0.00129845
