epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.4831,0.71787,2.11609,1.05745,0.90224,0.53,0.61741,0.50491,0.71233,3.22408,0.98165,0.00046,0.00046,0.00046
2,189.373,0.77927,1.42199,1.06309,0.90812,0.49421,0.69782,0.55334,0.825,2.7723,1.11534,0.000921388,0.000921388,0.000921388
3,484.578,0.82023,1.36447,1.07779,0.22598,0.25,0.13434,0.08108,1.05603,3.95727,1.43229,0.00136377,0.00136377,0.00136377
4,578.66,0.82882,1.26685,1.10451,0.60549,0.48,0.47841,0.3109,1.18568,2.74431,1.55265,0.00178714,0.00178714,0.00178714
5,704.919,0.86664,1.21781,1.12545,0.62472,0.5,0.50781,0.34299,1.23684,2.67124,1.57846,0.0018416,0.0018416,0.0018416
6,816.44,0.8397,1.11421,1.09154,0.44832,0.39,0.35675,0.23323,1.19657,2.53437,1.49015,0.001802,0.001802,0.001802
7,911.446,0.8499,1.02052,1.0951,0.7518,0.77,0.78195,0.61527,0.80842,1.53387,1.07047,0.0017624,0.0017624,0.0017624
8,1004.43,0.83126,0.94224,1.06979,0.71622,0.62,0.65353,0.46873,1.11321,1.71519,1.32816,0.0017228,0.0017228,0.0017228
9,1099.85,0.78216,0.89956,1.06081,0.84429,0.75913,0.81669,0.5912,1.02061,1.23331,1.275,0.0016832,0.0016832,0.0016832
10,1195.27,0.82718,0.86862,1.10371,0.95892,0.82,0.91657,0.72891,0.76322,0.96244,1.0416,0.0016436,0.0016436,0.0016436
11,1289.4,0.74321,0.77141,1.05265,0.89508,0.7678,0.85806,0.68404,0.76688,0.96987,1.03218,0.001604,0.001604,0.001604
12,1382.44,0.77347,0.79676,1.0616,0.89912,0.8,0.86631,0.7144,0.7987,0.9859,1.05334,0.0015644,0.0015644,0.0015644
13,1456.25,0.72404,0.71708,1.04405,0.87729,0.71495,0.82659,0.65572,0.80899,1.00573,1.04001,0.0015248,0.0015248,0.0015248
14,1522.65,0.76159,0.74638,1.05319,0.96418,0.81,0.90416,0.71825,0.69794,0.86818,1.00024,0.0014852,0.0014852,0.0014852
